Code,Name,Market,Type
2002,中鋼,TWSE,Stock
2002A,中鋼特,TWSE,ETF
2006,東和鋼鐵,TWSE,Stock
2007,燁興,TWSE,Stock
2008,高興昌,TWSE,Stock
2009,第一銅,TWSE,Stock
2010,春源,TWSE,Stock
2012,春雨,TWSE,Stock
2013,中鋼構,TWSE,Stock
2014,中鴻,TWSE,Stock
2015,豐興,TWSE,Stock
2017,官田鋼,TWSE,Stock
2020,美亞,TWSE,Stock
2022,聚亨,TWSE,Stock
2023,燁輝,TWSE,Stock
2024,志聯,TWSE,Stock
2025,千興,TWSE,Stock
2027,大成鋼,TWSE,Stock
2028,威致,TWSE,Stock
2029,盛餘,TWSE,Stock
2030,彰源,TWSE,Stock
2031,新光鋼,TWSE,Stock
2032,新鋼,TWSE,Stock
2033,佳大,TWSE,Stock
2034,允強,TWSE,Stock
2038,海光,TWSE,Stock
2049,上銀,TWSE,Stock
2059,川湖,TWSE,Stock
2062,橋椿,TWSE,Stock
2069,運錩,TWSE,Stock
2072,世紀風電,TWSE,Stock
2101,南港,TWSE,Stock
2102,泰豐,TWSE,Stock
2103,台橡,TWSE,Stock
2104,國際中橡,TWSE,Stock
2105,正新,TWSE,Stock
2106,建大,TWSE,Stock
2107,厚生,TWSE,Stock
2108,南帝,TWSE,Stock
2109,華豐,TWSE,Stock
2114,鑫永銓,TWSE,Stock
2115,六暉-KY,TWSE,Stock
2201,裕隆,TWSE,Stock
2204,中華,TWSE,Stock
2206,三陽工業,TWSE,Stock
2207,和泰車,TWSE,Stock
2208,台船,TWSE,Stock
2211,長榮鋼,TWSE,Stock
2227,裕日車,TWSE,Stock
2228,劍麟,TWSE,Stock
2231,為升,TWSE,Stock
2233,宇隆,TWSE,Stock
2236,百達-KY,TWSE,Stock
2239,英利-KY,TWSE,Stock
2241,艾姆勒,TWSE,Stock
2243,宏旭-KY,TWSE,Stock
2247,汎德永業,TWSE,Stock
2248,華勝-KY,TWSE,Stock
2250,IKKA-KY,TWSE,Stock
2254,巨鎧精密-創,TWSE,Stock
2258,鴻華先進-創,TWSE,Stock
2301,光寶科,TWSE,Stock
2302,麗正,TWSE,Stock
2303,聯電,TWSE,Stock
2305,全友,TWSE,Stock
2308,台達電,TWSE,Stock
2312,金寶,TWSE,Stock
2313,華通,TWSE,Stock
2314,台揚,TWSE,Stock
2316,楠梓電,TWSE,Stock
2317,鴻海,TWSE,Stock
2321,東訊,TWSE,Stock
2323,中環,TWSE,Stock
2324,仁寶,TWSE,Stock
2327,國巨*,TWSE,Stock
2328,廣宇,TWSE,Stock
2329,華泰,TWSE,Stock
2330,台積電,TWSE,Stock
2331,精英,TWSE,Stock
2332,友訊,TWSE,Stock
2337,旺宏,TWSE,Stock
2338,光罩,TWSE,Stock
2340,台亞,TWSE,Stock
2342,茂矽,TWSE,Stock
2344,華邦電,TWSE,Stock
2345,智邦,TWSE,Stock
2347,聯強,TWSE,Stock
2348,海悅,TWSE,Stock
2348A,海悅甲特,TWSE,ETF
2349,錸德,TWSE,Stock
2351,順德,TWSE,Stock
2352,佳世達,TWSE,Stock
2353,宏碁,TWSE,Stock
2354,鴻準,TWSE,Stock
2355,敬鵬,TWSE,Stock
2356,英業達,TWSE,Stock
2357,華碩,TWSE,Stock
2359,所羅門,TWSE,Stock
2360,致茂,TWSE,Stock
2362,藍天,TWSE,Stock
2363,矽統,TWSE,Stock
2364,倫飛,TWSE,Stock
2365,昆盈,TWSE,Stock
2367,燿華,TWSE,Stock
2368,金像電,TWSE,Stock
2369,菱生,TWSE,Stock
2371,大同,TWSE,Stock
2373,震旦行,TWSE,Stock
2374,佳能,TWSE,Stock
2375,凱美,TWSE,Stock
2376,技嘉,TWSE,Stock
2377,微星,TWSE,Stock
2379,瑞昱,TWSE,Stock
2380,虹光,TWSE,Stock
2382,廣達,TWSE,Stock
